period_month,billings,revenue_recognized,impl_fee_portion,billings_vs_revenue,deferred_balance,deferred_movement,contract_asset,ca_movement
2023-01,64919.07,17809.91,1412.28,47109.16,47109.16,47109.16,0.0,0.0
2023-02,39814.96,28022.28,1412.28,11792.68,58901.84,11792.68,0.0,0.0
2023-03,64596.55,39948.37,3488.13,24648.18,64311.36,5409.52,0.0,0.0
2023-04,225397.29,66617.1,4064.48,158780.19,198055.45,133744.09,0.0,0.0
2023-05,61099.29,71312.07,4064.48,-10212.78,186511.4,-11544.05,0.0,0.0
2023-06,342688.91,112040.62,4763.73,230648.29,416843.09,230331.69,1014.67,1014.67
2023-07,92337.06,120232.04,4763.73,-27894.98,371035.39,-45807.7,606.59,-408.08
2023-08,131034.43,142775.92,6481.81,-11741.49,359926.89,-11108.5,3800.89,3194.3
2023-09,103463.51,143851.52,6481.81,-40388.01,325220.59,-34706.3,12043.91,8243.02
2023-10,188739.29,152582.85,6481.81,36156.44,317844.2,-7376.39,15490.21,3446.3
2023-11,178503.93,163473.98,6481.81,15029.95,335065.91,17221.71,24949.03,9458.82
2023-12,119312.66,167225.92,6833.85,-47913.26,289746.11,-45319.8,39588.83,14639.8
2024-01,212108.74,179257.46,6833.85,32851.28,304662.26,14916.15,43577.22,3988.39
2024-02,357009.23,200688.45,8028.26,156320.78,453431.5,148769.24,57978.08,14400.86
2024-03,81928.1,199496.75,8028.26,-117568.65,363877.45,-89554.05,88084.18,30106.1
2024-04,183700.84,205734.22,8375.72,-22033.38,341481.7,-22395.75,111062.63,22978.45
2024-05,135853.18,219320.37,8375.72,-83467.19,282134.94,-59346.76,156283.22,45220.59
2024-06,99352.35,190511.22,8375.72,-91158.87,234429.06,-47705.88,202150.91,45867.69
2024-07,129747.68,188884.3,8375.72,-59136.62,187483.68,-46945.38,238807.76,36656.85
2024-08,132013.39,193641.96,8375.72,-61628.57,166578.6,-20905.08,286623.38,47815.62
2024-09,99964.17,184291.77,8023.68,-84327.6,122995.66,-43582.94,332471.44,45848.06
2024-10,130440.19,185848.42,8023.68,-55408.23,82536.42,-40459.24,371886.04,39414.6
2024-11,131223.61,184591.03,8023.68,-53367.42,70623.84,-11912.58,424380.05,52494.01
2024-12,100027.44,184773.72,8023.68,-84746.28,30649.89,-39973.95,473837.1,49457.05
